VendorId,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,fare_amount,extra,tip_amount,improvement_surcharge,total_amount
1,2024-01-20T01:09:18.000,2024-01-20T01:10:15.000,1,0.0,60.0,0.0,12.2,1.0,73.2
1,2024-01-31T00:24:59.000,2024-01-31T00:51:31.000,2,7.6,33.1,3.5,5.0,1.0,43.1
2,2024-01-18T14:19:39.000,2024-01-18T14:22:30.000,1,0.29,4.4,0.0,2.1,1.0,10.5
2,2024-01-25T02:09:16.000,2024-01-25T02:10:56.000,1,0.43,4.4,1.0,2.82,1.0,12.22
2,2024-01-20T16:00:26.000,2024-01-20T16:13:14.000,1,3.31,17.0,0.0,0.0,1.0,21.0
2,2024-01-18T17:05:52.000,2024-01-18T17:18:28.000,1,1.44,12.8,2.5,3.86,1.0,23.16
2,2024-01-31T17:03:39.000,2024-01-31T17:31:18.000,1,10.38,42.2,2.5,9.24,1.0,57.19
2,2024-01-11T11:54:42.000,2024-01-11T12:09:58.000,3,1.61,14.9,0.0,0.0,1.0,18.9
1,2024-01-19T15:35:40.000,2024-01-19T15:47:28.000,1,1.6,12.8,2.5,3.35,1.0,20.15
2,2024-01-10T09:36:13.000,2024-01-10T09:44:49.000,1,2.1,11.4,0.0,3.08,1.0,18.48
2,2024-01-23T14:24:31.000,2024-01-23T14:25:41.000,1,0.0,-3.0,0.0,0.0,-1.0,-4.5
1,2024-01-23T19:16:37.000,2024-01-23T19:33:09.000,1,2.4,16.3,5.0,1.0,1.0,23.8
1,2024-01-20T20:29:57.000,2024-01-20T21:05:35.000,2,3.7,28.9,3.5,1.0,1.0,34.9
2,2024-01-12T19:48:17.000,2024-01-12T19:56:19.000,1,1.23,10.0,2.5,3.3,1.0,19.8
2,2024-01-31T09:24:23.000,2024-01-31T09:37:31.000,1,0.68,12.1,0.0,1.0,1.0,17.1
2,2024-01-05T17:30:58.000,2024-01-05T18:18:41.000,1,5.01,41.5,2.5,0.0,1.0,54.94
2,2024-01-23T10:47:38.000,2024-01-23T10:55:18.000,1,0.49,-8.6,0.0,0.0,-1.0,-12.6
1,2024-01-31T11:22:55.000,2024-01-31T12:05:36.000,1,3.7,22.5,0.0,0.0,1.0,24.0
2,2024-01-14T01:17:25.000,2024-01-14T01:28:51.000,1,3.44,16.3,1.0,4.26,1.0,25.56
1,2024-01-04T17:36:57.000,2024-01-04T17:40:09.000,1,0.6,5.8,5.0,2.45,1.0,14.75
2,2024-01-22T10:43:04.000,2024-01-22T10:48:25.000,1,1.13,7.9,0.0,0.0,1.0,11.9
2,2024-01-26T10:05:00.000,2024-01-26T10:49:08.000,1,6.74,42.2,0.0,0.0,1.0,46.2
2,2024-01-21T10:28:48.000,2024-01-21T11:08:09.000,1,19.93,70.0,0.0,24.28,1.0,105.22
2,2024-01-22T19:39:16.000,2024-01-22T19:39:27.000,1,0.05,70.0,5.0,12.0,1.0,99.69
2,2024-01-29T18:15:47.000,2024-01-29T18:36:27.000,1,3.38,-20.5,-2.5,0.0,-1.0,-27.0
2,2024-01-27T03:33:07.000,2024-01-27T03:38:16.000,1,1.35,7.9,1.0,2.58,1.0,15.48
2,2024-01-08T16:25:04.000,2024-01-08T16:32:43.000,1,1.3,9.3,2.5,3.95,1.0,19.75
1,2024-01-20T15:57:06.000,2024-01-20T16:03:23.000,1,0.9,7.9,2.5,1.0,1.0,12.9
2,2024-01-23T12:09:19.000,2024-01-23T12:14:42.000,3,0.64,6.5,0.0,1.0,1.0,11.5
1,2024-01-19T15:05:12.000,2024-01-19T16:08:40.000,1,24.9,70.0,4.25,16.5,1.0,99.19
2,2024-01-30T19:55:44.000,2024-01-30T19:58:35.000,1,0.92,5.8,2.5,3.0,1.0,15.3
2,2024-01-22T09:06:59.000,2024-01-22T09:11:25.000,2,0.44,5.8,0.0,1.96,1.0,11.76
2,2024-01-12T13:28:51.000,2024-01-12T13:54:58.000,2,10.23,42.9,5.0,12.12,1.0,72.71
2,2024-01-17T21:23:29.000,2024-01-17T21:54:40.000,1,6.96,35.2,1.0,2.0,1.0,42.2
1,2024-01-26T22:56:00.000,2024-01-26T23:02:39.000,0,1.0,8.6,3.5,0.0,1.0,13.6
1,2024-01-17T13:31:59.000,2024-01-17T13:44:27.000,1,0.9,12.1,2.5,3.5,1.0,19.6
1,2024-01-08T07:10:55.000,2024-01-08T07:21:05.000,1,2.2,12.1,2.5,4.03,1.0,20.13
2,2024-01-08T21:10:01.000,2024-01-08T21:26:44.000,1,2.65,17.0,1.0,0.0,1.0,22.0
2,2024-01-09T20:09:26.000,2024-01-09T20:16:29.000,1,1.16,8.6,1.0,0.0,1.0,13.6
2,2024-01-28T08:27:09.000,2024-01-28T08:27:15.000,1,0.0,70.0,0.0,0.0,1.0,74.0
2,2024-01-31T18:02:08.000,2024-01-31T18:10:13.000,1,0.96,9.3,2.5,3.16,1.0,18.96
2,2024-01-29T08:22:42.000,2024-01-29T08:26:48.000,1,0.55,5.8,0.0,2.0,1.0,11.8
2,2024-01-06T15:12:14.000,2024-01-06T15:19:15.000,1,1.03,8.6,0.0,1.0,1.0,13.6
2,2024-01-18T22:15:23.000,2024-01-18T22:19:57.000,1,0.66,6.5,1.0,1.0,1.0,12.5
2,2024-01-21T21:19:22.000,2024-01-21T21:25:53.000,1,1.96,10.0,1.0,2.25,1.0,17.25
1,2024-01-09T17:56:08.000,2024-01-09T18:04:09.000,1,0.8,8.6,5.0,1.0,1.0,16.1
2,2024-01-04T17:23:44.000,2024-01-04T17:43:31.000,1,1.43,17.7,2.5,4.84,1.0,29.04
1,2024-01-06T01:34:10.000,2024-01-06T01:41:22.000,1,1.1,7.9,3.5,5.0,1.0,17.9
2,2024-01-16T13:37:35.000,2024-01-16T13:42:44.000,1,0.89,7.2,0.0,2.24,1.0,13.44
2,2024-01-15T17:24:13.000,2024-01-15T17:39:08.000,1,2.96,17.0,0.0,4.2,1.0,25.2
2,2024-01-03T15:32:30.000,2024-01-03T16:23:46.000,2,16.18,70.0,0.0,20.23,1.0,101.17
2,2024-01-02T00:17:55.000,2024-01-02T00:33:15.000,1,9.95,38.0,6.0,15.73,1.0,69.92
2,2024-01-16T09:18:20.000,2024-01-16T09:18:34.000,2,0.01,3.0,0.0,0.0,1.0,7.0
1,2024-01-23T09:38:06.000,2024-01-23T10:43:16.000,1,13.1,34.5,0.0,0.0,1.0,36.0
2,2024-01-06T21:51:53.000,2024-01-06T21:57:25.000,1,1.1,7.9,1.0,1.29,1.0,14.19
1,2024-01-03T12:15:11.000,2024-01-03T12:24:11.000,1,1.5,17.5,0.0,0.0,1.0,19.0
2,2024-01-10T09:07:27.000,2024-01-10T09:11:29.000,1,0.57,5.8,0.0,1.0,1.0,10.8
2,2024-01-01T02:46:02.000,2024-01-01T02:54:50.000,1,0.95,10.0,1.0,3.0,1.0,18.0
2,2024-01-18T12:57:16.000,2024-01-18T13:06:48.000,1,1.65,11.4,0.0,0.0,1.0,15.4
2,2024-01-10T23:34:00.000,2024-01-10T23:47:29.000,1,3.83,19.1,1.0,2.0,1.0,26.1
2,2024-01-27T13:04:09.000,2024-01-27T13:30:27.000,2,8.05,38.0,0.0,0.0,1.0,42.0
1,2024-01-19T19:15:28.000,2024-01-19T19:46:32.000,1,10.5,42.9,11.75,12.6,1.0,75.69
2,2024-01-20T16:04:34.000,2024-01-20T16:17:02.000,1,1.68,12.8,0.0,3.36,1.0,20.16
2,2024-01-23T21:41:34.000,2024-01-23T21:45:55.000,1,0.97,7.2,1.0,0.61,1.0,12.81
1,2024-01-21T10:24:00.000,2024-01-21T10:35:13.000,1,3.1,15.6,3.5,2.0,1.0,22.6
2,2024-01-22T09:00:22.000,2024-01-22T09:14:27.000,1,1.87,14.2,0.0,2.0,1.0,20.2
2,2024-01-27T20:52:18.000,2024-01-27T20:57:16.000,2,1.19,7.9,1.0,0.0,1.0,12.9
1,2024-01-22T11:16:10.000,2024-01-22T11:20:19.000,2,0.6,5.8,2.5,0.0,1.0,9.8
1,2024-01-25T12:04:21.000,2024-01-25T12:45:29.000,1,11.9,39.5,0.0,0.0,1.0,41.0
2,2024-01-28T07:42:20.000,2024-01-28T07:42:48.000,1,0.01,3.0,0.0,0.0,1.0,7.0
2,2024-01-03T23:33:03.000,2024-01-04T00:13:01.000,1,19.42,70.0,0.0,5.0,1.0,85.19
2,2024-01-16T08:38:27.000,2024-01-16T08:59:58.000,1,5.15,25.4,0.0,5.88,1.0,35.28
2,2024-01-20T21:52:14.000,2024-01-20T22:21:16.000,1,18.58,69.5,1.0,7.38,1.0,81.13
2,2024-01-18T02:36:02.000,2024-01-18T02:47:31.000,1,5.02,21.2,1.0,6.55,1.0,32.75
2,2024-01-30T08:28:05.000,2024-01-30T08:46:36.000,1,2.08,17.0,0.0,4.2,1.0,25.2
2,2024-01-07T03:15:32.000,2024-01-07T03:20:44.000,2,0.62,6.5,1.0,0.0,1.0,11.5
2,2024-01-25T13:00:03.000,2024-01-25T13:19:55.000,1,1.53,17.0,0.0,4.2,1.0,25.2
2,2024-01-27T19:11:47.000,2024-01-27T19:31:02.000,2,9.6,-37.3,0.0,0.0,-1.0,-40.55
2,2024-01-31T10:22:54.000,2024-01-31T10:27:41.000,2,0.51,6.5,0.0,2.1,1.0,12.6
2,2024-01-14T04:14:37.000,2024-01-14T04:35:03.000,1,8.5,35.9,1.0,0.0,1.0,40.9
1,2024-01-21T13:45:11.000,2024-01-21T13:59:15.000,2,2.0,14.2,2.5,3.6,1.0,21.8
1,2024-01-04T11:40:46.000,2024-01-04T12:08:08.000,1,1.1,16.5,0.0,0.0,1.0,18.0
